,,Job vacancy sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applicant sector,,AC,AD,AG,AM,AP,AR,AU,AV,BO,CC,CH,CN,CU,CY,DE,DI,DO,ED,EL,EM,EN,FD,FI,FL,GR,HB,HC,HE,HR,HS,IN,IT,LO,LW,MA,MD,ME,MI,MK,MR,OG,OH,OT,PH,PO,PR,PS,PU,RC,RT,SC,SE,SH,SM,ST,SY,TE,TR,TV,UT,VT
AC,22246,9785,235,3,16,3,,30,11,2,,25,90,452,107,20,54,3,87,8,,158,,5160,,180,,4,,104,2,728,1491,132,163,135,68,48,1,180,,30,14,133,1,18,10,137,58,198,231,13,1199,,529,1,1,77,12,74,24,1
AD,5607,434,1353,3,,,,34,4,,1,31,49,450,9,12,26,8,114,7,,93,4,127,3,35,1,26,,104,1,41,303,81,49,110,23,38,,125,1,11,16,103,2,6,12,117,50,99,148,8,918,,337,3,1,13,13,37,10,3
AG,463,3,5,45,,4,,9,4,,1,4,25,21,,1,7,6,5,,,26,,3,,3,,5,2,,2,2,11,52,1,37,2,2,,7,,2,13,14,,14,,4,5,,18,1,49,,27,7,,1,2,7,4,
AM,17,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,1,,,,,,,,,,,,,,,,,,
AP,732,29,,1,,34,,4,1,,2,,18,64,,,9,6,16,6,,48,,12,,10,,1,,3,,1,33,30,1,15,3,1,,8,,1,11,40,,7,1,3,1,14,41,2,126,,98,5,,3,1,20,2,
AR,305,2,19,1,,,2,1,1,,1,5,3,16,,,,,14,,,2,2,2,,5,,6,,2,,1,20,5,1,10,8,3,,21,,,1,16,,1,,5,2,2,26,,10,,73,,,,,15,1,
AU,9442,95,42,2,14,2,,1278,144,,1,10,133,249,24,36,100,2,34,115,,2518,2,106,,49,,7,,27,6,23,825,462,20,587,24,73,1,102,,52,27,65,3,82,3,49,78,57,198,12,203,,1350,15,2,39,16,51,25,2
AV,4269,46,7,,2,1,2,205,473,,,5,61,124,9,52,22,1,37,75,,1255,1,75,,57,,,,27,6,9,590,88,5,164,5,23,1,17,1,26,6,31,,24,,24,24,34,98,7,109,,328,4,2,22,2,72,10,
BO,475,11,,1,,1,,1,,5,,4,4,93,9,,1,1,4,,,6,,7,,23,,,,3,,,32,19,2,10,,6,,3,,,18,17,,5,,1,2,7,9,1,71,,92,,,2,1,3,,
